,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
484,Blake Jarwin,2017,1.4375,0.0,0.0,0,0.0,75.7
485,Blake Jarwin,2018,24.0,0.0,230.25,3,75.7,85.5
486,Blake Jarwin,2019,25.0,0.0,275.9756097560976,3,85.5,2.2
487,Blake Jarwin,2020,1.625,0.0,12.0,0,2.2,32.6
488,Blake Whiteheart,2023,2.7058823529411766,0.0,0.0,0,0.0,
508,Brady Russell,2023,22.058823529411764,0.0,0.0,0,0.0,
538,Brandon Bostick,2013,16.5,0.0,60.0,1,25.0,8.3
539,Brandon Bostick,2014,20.3125,0.0,1.5,1,8.3,14.3
542,Brandon Dillon,2019,1.375,0.0,0.0,0,0.0,1.6
543,Brandon Dillon,2020,4.3125,0.0,6.0,0,1.6,0.0
557,Brandon Myers,2013,28.0,0.0,322.8157894736842,4,123.2,41.0
558,Brandon Myers,2014,25.375,0.0,130.625,0,41.0,24.7
559,Brandon Myers,2015,20.625,0.0,89.6470588235294,0,24.7,20.9
560,Brandon Pettigrew,2013,24.5,0.0,270.73015873015873,2,92.6,17.0
561,Brandon Pettigrew,2014,25.375,0.0,46.666666666666664,0,17.0,19.7
576,Brandon Williams,2013,14.625,0.0,0.0,0,0.0,8.4
577,Brandon Williams,2014,23.625,0.0,22.0,0,8.4,0.0
578,Brandon Williams,2015,10.5,0.0,0.0,0,0.0,5.6
579,Brandon Williams,2016,29.0,0.0,24.0,0,5.6,25.1
594,Brayden Willis,2023,9.882352941176471,0.0,0.0,0,0.0,
597,Brent Celek,2013,28.0,0.0,314.98039215686276,6,116.2,70.0
598,Brent Celek,2014,29.0,0.0,213.33333333333334,1,70.0,84.8
599,Brent Celek,2015,30.0,0.0,307.0285714285714,3,84.8,29.5
600,Brent Celek,2016,31.0,0.0,114.21052631578948,0,29.5,32.0
604,Brenton Strange,2023,18.941176470588236,0.0,19.444444444444443,1,14.5,
617,Brevin Jordan,2021,11.117647058823529,0.0,127.14285714285714,3,55.8,26.8
618,Brevin Jordan,2022,14.235294117647058,0.0,64.0,0,26.8,50.9
619,Brevin Jordan,2023,18.941176470588236,0.0,177.28571428571428,2,50.9,
638,Brian Leonhardt,2014,18.0,0.0,26.25,1,15.5,1.4
639,Brian Parker,2015,12.9375,0.0,3.0,0,1.6,8.3
665,Brock Wright,2021,13.529411764705882,0.0,82.58823529411765,2,35.7,63.6
666,Brock Wright,2022,24.0,0.0,162.0,4,63.6,28.1
667,Brock Wright,2023,20.58823529411765,0.0,84.5,1,28.1,
685,Brycen Hopkins,2020,7.1875,0.0,0.0,0,0.0,1.9
686,Brycen Hopkins,2021,7.0588235294117645,0.0,9.0,0,1.9,17.9
687,Brycen Hopkins,2022,20.58823529411765,0.0,69.36363636363636,0,17.9,12.8
688,Brycen Hopkins,2023,22.941176470588236,0.0,55.714285714285715,0,12.8,
714,C.J. Fiedorowicz,2014,21.5625,0.0,16.0,1,12.8,37.7
715,C.J. Fiedorowicz,2015,24.0,0.0,118.29166666666667,1,37.7,133.9
716,C.J. Fiedorowicz,2016,23.4375,0.0,339.1685393258427,4,133.9,26.7
733,C.J. Uzomah,2015,6.875,0.0,4.0,0,1.4,54.4
734,C.J. Uzomah,2016,14.375,0.0,153.94736842105263,1,54.4,25.2
735,C.J. Uzomah,2017,21.0,0.0,61.333333333333336,1,25.2,104.9
736,C.J. Uzomah,2018,25.0,0.0,294.953125,3,104.9,63.2
737,C.J. Uzomah,2019,26.0,0.0,163.35,2,63.2,22.7
738,C.J. Uzomah,2020,3.375,0.0,63.27272727272727,1,22.7,128.3
739,C.J. Uzomah,2021,26.352941176470587,0.0,383.44444444444446,5,128.3,56.2
740,C.J. Uzomah,2022,25.58823529411765,0.0,180.44444444444446,2,56.2,19.8
741,C.J. Uzomah,2023,21.176470588235293,0.0,38.666666666666664,1,19.8,
742,Cade Otton,2022,21.647058823529413,0.0,252.64615384615385,2,93.1,116.5
743,Cade Otton,2023,24.0,0.0,319.17910447761193,4,116.5,
773,Cameron Brate,2014,7.1875,0.0,17.0,0,2.7,69.8
774,Cameron Brate,2015,21.0,0.0,220.8,3,69.8,171.0
775,Cameron Brate,2016,23.4375,0.0,464.44444444444446,8,171.0,143.1
776,Cameron Brate,2017,26.0,0.0,368.4155844155844,6,143.1,92.9
777,Cameron Brate,2018,27.0,0.0,176.9387755102041,6,92.9,91.1
778,Cameron Brate,2019,28.0,0.0,203.56363636363636,4,91.1,68.2
779,Cameron Brate,2020,29.0,0.0,232.23529411764707,2,68.2,78.5
780,Cameron Brate,2021,30.0,0.0,128.94736842105263,4,78.5,37.4
829,Cethan Carter,2017,22.0,0.0,0.0,0,0.0,9.3
830,Cethan Carter,2019,22.5,0.0,8.666666666666666,1,9.3,10.3
